src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,
192.168.35.235,239.255.255.250,49345,1900,17,2021-04-17 21:53,299298,1115.944644,6.682303256,6.682303256,0,2,0,334,0,167,167,167,0,0,0,0,0,167,167,167,0,0,16,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,2,0,334,0,
192.168.35.79,34.107.221.82,47902,80,6,2021-04-17 21:53,85297146,16.24907825,0.246198155,0.128960939,0.117237217,11,10,726,660,66,66,66,0,66,66,66,0,66,66,66,0,0,220,200,20,0,4264857.3,10230715,58,4912955.202,85297146,10242295,10111,8529714.6,3502103.082,85269458,10267164,3366673,9474384.222,2159453.06,0,0,0,0,1,0,0,0,0,0,0,0.909090909,66,501,269,10221008,10162492,10198016.88,20298.32698,10220878,27630,8494075.5,3483466.238,0,0,0,0,0,0,66,66,0,11,10,726,660,
192.168.35.79,34.107.221.82,47900,80,6,2021-04-17 21:53,84296976,16.44187094,0.249119257,0.130491039,0.118628217,11,10,726,660,66,66,66,0,66,66,66,0,66,66,66,0,0,220,200,20,0,4214848.8,10231402,136,4927325.878,84296976,10242213,10717,8429697.6,3658880.658,84269483,10267174,2366698,9363275.889,2473708.462,0,0,0,0,1,0,0,0,0,0,0,0.909090909,66,501,265,10222021,10163041,10198785.13,20395.84711,10222231,27357,8394639.8,3640994.384,0,0,0,0,0,0,66,66,0,11,10,726,660,
192.168.35.235,239.255.255.250,51673,1900,17,2021-04-17 21:53,602936,830.9339631,4.975652474,4.975652474,0,3,0,501,0,167,167,167,0,0,0,0,0,167,167,167,0,0,24,0,8,3,301468,304810,298126,3342,602936,304810,298126,301468,3342,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,167,0,0,0,0,0,0,298126,6684,152405,145721,0,0,0,0,0,0,167,0,0,3,0,501,0,
192.168.35.123,172.217.161.67,50055,443,6,2021-04-17 21:53,0,0,0,0,0,1,0,5203,0,5203,5203,5203,0,0,0,0,0,5203,5203,5203,0,0,20,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5203,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5203,0,0,1,0,5203,0,
192.168.35.235,239.255.255.250,57856,1900,17,2021-04-17 21:53,609412,822.1039297,4.922778022,4.922778022,0,3,0,501,0,167,167,167,0,0,0,0,0,167,167,167,0,0,24,0,8,3,304706,312436,296976,7730,609412,312436,296976,304706,7730,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,167,0,0,0,0,0,0,296976,15460,156218,140758,0,0,0,0,0,0,167,0,0,3,0,501,0,
192.168.35.235,239.255.255.250,49898,1900,17,2021-04-17 21:53,307565,1085.949312,6.502690488,6.502690488,0,2,0,334,0,167,167,167,0,0,0,0,0,167,167,167,0,0,16,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,2,0,334,0,
192.168.35.41,239.255.255.250,63135,1900,17,2021-04-17 21:53,5841920,141.905401,0.855882997,0.855882997,0,5,0,829,0,167,165,165.8,0.979795897,0,0,0,0,167,165,165.8,0.979795897,0.96,40,0,8,5,1460480,3065671,4,1464056.001,5841920,3065671,4,1460480,1464056.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.8,0,0,0,0,0,0,2776236,289431,1532833.5,1243402.5,0,0,0,0,0,0,165.8,0,0,5,0,829,0,
192.168.35.235,239.255.255.250,36169,1900,17,2021-04-17 21:54,608514,548.8780866,3.286695129,3.286695129,0,2,0,334,0,167,167,167,0,0,0,0,0,167,167,167,0,0,16,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,2,0,334,0,
192.168.35.79,224.0.0.251,5353,5353,17,2021-04-17 21:54,750103,329.2881111,2.666300495,2.666300495,0,2,0,247,0,160,87,123.5,36.5,0,0,0,0,160,87,123.5,36.5,1332.25,16,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,123.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.5,0,0,2,0,247,0,
192.168.35.235,239.255.255.250,48353,1900,17,2021-04-17 21:54,611166,546.4963692,3.272433349,3.272433349,0,2,0,334,0,167,167,167,0,0,0,0,0,167,167,167,0,0,16,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,2,0,334,0,
